Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
NP_414632.1	GT28(185-341)	GT28	GT28	N	3
NP_414638.1	CE11(4-276)	CE11	CE11	N	3
NP_414672.1	CE4(227-371)	CE4	CE4	Y(1-20)	3
NP_414691.1	GT51(208-379)	GT51	GT51	N	3
NP_414724.1	GT19(9-366)	GT19	GT19	N	3
NP_414747.1	GH23(101-244)	GH23+CBM50	CBM50+GH23	Y(1-27)	3
NP_414805.1	GH43_11(3-303)	GH43	GH43_11	N	3
NP_414845.1	AA3(2-536)	AA3+AA8	AA3	N	3
NP_414878.1	GH2(40-916)	GH2	GH2	N	3
NP_414889.1	CE1(21-271)	N	N	N	1
NP_414897.1	GT2(35-200)	N	GT2	N	2
NP_414898.4	CE14(20-130)	CE14	N	N	2
NP_414937.2	CBM34(5-111)+GH13_21(175-495)	GH13+CBM34	CBM34+GH13_21	N	3
NP_415009.1	CE10(34-317)	N	N	N	1
NP_415087.1	GH24(34-156)	GH24	N	N	2
NP_415117.2	CE1(172-386)	N	N	N	1
NP_415203.1	CE9(5-376)	CE9	CE9	N	3
NP_415260.1	GH38(7-265)	GH38	GH38	N	3
NP_415293.1	CE8(90-420)	CE8	CE8	Y(1-24)	3
NP_415524.1	AA6(3-194)	AA6	N	N	2
NP_415541.1	GT2(78-244)	GT2	GT2	N	3
NP_415542.1	CE4(103-271)	CE4	CE4	Y(1-26)	3
NP_415599.1	GH73(160-295)	GH73	GH73	N	3
NP_415625.1	GH3(56-278)	GH3	GH3	N	3
NP_415711.2	GH23(52-197)	GH23	N	Y(1-49)	2
NP_415715.1	GH37(56-531)	GH37	GH37	Y(1-31)	3
NP_415825.4	GH13_18(81-423)	GH13	GH13_18	N	3
NP_415832.1	GH65(299-674)	GH65	GH65	N	3
NP_416072.1	GH24(27-167)	GH24	N	Y(1-24)	2
NP_416134.1	GH2(7-588)	GH2	GH2	N	3
NP_416248.1	GH4(6-185)	GH4	GH4	N	3
NP_416410.1	GT20(2-453)	GT20	GT20	N	3
NP_416437.1	GH13_5(31-373)	GH13	GH13_5	N	3
NP_416536.1	GT4(193-336)	N	GT4	N	2
NP_416548.1	GT4(225-369)	GT4	GT4	N	3
NP_416563.1	GT2(8-108)	GT2	GT2	N	3
NP_416605.2	GH25(70-245)	GH25	GH25	Y(1-35)	3
NP_416636.1	GH3(98-319)	GH3	GH3	Y(1-21)	3
NP_416659.1	CE1(21-273)	N	N	N	1
NP_416757.1	GT2(11-172)	GT2	GT2	N	3
NP_416760.1	GT83(3-521)	GT83	GT83	N	3
NP_416852.1	GT2(4-167)	GT2	GT2	N	3
NP_417014.1	GT51(63-226)	GT51	GT51	N	3
NP_417053.2	GH23(299-448)	GH23	GH23	N	3
NP_417181.1	GH103(63-355)	GH103	GH103	Y(1-24)	3
NP_417196.1	GH1(3-470)	GH1	GH1	N	3
NP_417293.1	GH102(150-257)	GH102	GH102	Y(1-20)	3
NP_417377.1	GH1(7-476)	GH1	GH1	N	3
NP_417438.2	GH23(207-353)	GH23	GH23	Y(1-24)	3
NP_417453.1	AA7(53-241)	N	N	N	1
NP_417551.1	GH63(1-780)	GH63	GH63	Y(1-23)	3
NP_417675.1	GT51(60-228)	GT51	GT51	N	3
NP_417855.4	GT51(54-229)	GT51	GT51	N	3
NP_417875.1	GH77(148-685)	GH77	GH77	N	3
NP_417886.1	GT35(101-810)	GT35	GT35	N	3
NP_417887.1	GT5(2-474)	GT5	GT5	N	3
NP_417889.1	CBM48(10-100)+GH13_11(173-521)	GH13+GH77+CBM48	CBM48+GH13_11	N	3
NP_417890.1	CBM48(124-211)+GH13_9(274-574)	GH13+CBM48	CBM48+GH13_9	N	3
NP_417976.1	GH37(71-545)	GH37	GH37	N	3
NP_417988.1	GH8(25-343)	GH8	GH8	Y(1-22)	3
NP_417990.4	GT2(277-446)	GH26+GT2	GT2	N	3
NP_418028.1	GH13_19(226-595)	GH13	GH13_19	Y(1-18)	3
NP_418072.1	GT2(9-137)	GT2	GT2	N	3
NP_418077.1	GT9(69-306)	GT9	GT9	N	3
NP_418078.1	GT9(76-300)	GT9	GT9	N	3
NP_418080.1	GT9(106-328)	GT9	GT9	N	3
NP_418081.1	GT73(18-257)	GT73	GT73	N	3
NP_418083.1	GT8(24-275)	GT8	GT8	N	3
NP_418084.1	GT8(30-276)	GT8	GT8	N	3
NP_418085.2	GT4(176-321)	GT4	GT4	N	3
NP_418088.1	GT4(189-344)	GT4	GT4	N	3
NP_418089.1	GT9(66-292)	GT9	GT9	N	3
NP_418090.1	GT30(33-211)	GT30	GT30	N	3
NP_418113.1	GH31(239-668)	GH31	GH31	N	3
NP_418175.3	CE1(150-384)	CE1	CE1	Y(1-24)	3
NP_418177.1	GH1(2-459)	GH1	GH1	N	3
NP_418242.1	GT26(62-231)	GT26	GT26	N	3
NP_418314.1	GH31(229-666)	GH31	GH31	N	3
NP_418543.1	GH4(6-186)	GH4	GH4	N	3
NP_418660.1	GH13_29(29-372)	GH13	GH13_29	N	3
NP_418809.4	GH23(497-622)	GH23	GH23	Y(1-28)	3
YP_026199.1	GH2(26-886)	GH2	GH2	N	3
YP_026218.1	GT35(92-795)	GT35	GT35	N	3
YP_026230.1	GH73(144-267)	GH73	GH73	Y(1-28)	3
YP_026257.1	GT56(1-352)	GT56	GT56	N	3
NP_418729.1	N	CE0	CE0	N	2
NP_414722.1	N	CE11	N	N	1
NP_416008.1	N	GH0	GH0	Y(1-36)	2
NP_415166.1	N	GH0	N	N	1
NP_417797.1	N	GH18+CBM5	CBM5+GH18	Y(1-25)	2
NP_416223.1	N	GH23	N	Y(1-21)	1
NP_418377.1	N	AA2	AA2	N	2
NP_415567.1	N	GT2	GT2	N	2
NP_415101.1	N	GT2	GT2	N	2
NP_416559.1	N	GT2	GT2	N	2
NP_416554.1	N	GT4	GT4	N	2
NP_416561.1	N	GT4	GT4	N	2
YP_026162.2	N	GT4	N	N	1
NP_417341.4	N	CBM50	CBM50	Y(1-32)	2
NP_417151.1	N	CBM50	N	N	1
NP_416370.2	N	CBM50	CBM50	N	2
NP_417222.1	N	CBM50	CBM50	Y(1-46)	2
NP_415631.1	N	CBM50	CBM50	Y(1-29)	2
NP_416193.1	N	CBM50	N	Y(1-24)	1
NP_414555.1	N	N	GH19	N	1
NP_415118.1	N	N	GT2	N	1
NP_415340.1	N	N	CBM50	Y(1-25)	1
NP_415896.1	N	N	GT2	N	1
NP_416234.1	N	N	GH28	N	1
NP_416247.1	N	N	CE0	N	1
NP_416494.1	N	N	CBM50	Y(1-22)	1
NP_416553.1	N	N	GT4	N	1
NP_418241.1	N	N	GT56	N	1
NP_418590.1	N	N	CBM50	Y(1-23)	1
NP_418634.1	N	N	CBM50	Y(1-20)	1
YP_026182.1	N	N	GH1	N	1
