HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT28.hmm	157	NP_414632.1	355	1.2e-49	2	157	185	341	0.9872611464968153
CE11.hmm	271	NP_414638.1	305	8.8e-122	1	270	4	276	0.992619926199262
CE4.hmm	130	NP_414672.1	409	7.5e-28	4	128	227	371	0.9538461538461539
GT51.hmm	177	NP_414691.1	844	8.8e-56	8	175	208	379	0.943502824858757
GT19.hmm	354	NP_414724.1	382	8.9e-143	1	353	9	366	0.9943502824858758
GH23.hmm	135	NP_414747.1	452	5.1e-24	2	127	101	244	0.9259259259259259
GH43_11.hmm	292	NP_414805.1	536	3e-140	1	292	3	303	0.9965753424657534
AA3.hmm	618	NP_414845.1	556	5.2e-108	89	402	2	536	0.5064724919093851
GH2.hmm	752	NP_414878.1	1024	2.1e-224	17	751	40	916	0.976063829787234
CE1.hmm	227	NP_414889.1	277	2.6e-54	1	224	21	271	0.9823788546255506
GT2.hmm	168	NP_414897.1	398	1.2e-19	3	167	35	200	0.9761904761904762
CE14.hmm	124	NP_414898.4	185	2.8e-17	1	124	20	130	0.9919354838709677
CBM34.hmm	120	NP_414937.2	604	9.6e-22	2	104	5	111	0.85
GH13_21.hmm	322	NP_414937.2	604	7.7e-193	2	322	175	495	0.9937888198757764
CE10.hmm	341	NP_415009.1	319	5e-60	34	335	34	317	0.8826979472140762
GH24.hmm	137	NP_415087.1	165	3e-46	12	137	34	156	0.9124087591240876
CE1.hmm	227	NP_415117.2	400	1.1e-18	1	218	172	386	0.9559471365638766
CE9.hmm	373	NP_415203.1	382	1.6e-120	2	373	5	376	0.9946380697050938
GH38.hmm	269	NP_415260.1	877	3e-78	2	258	7	265	0.9516728624535316
CE8.hmm	288	NP_415293.1	427	8.9e-54	10	262	90	420	0.875
AA6.hmm	195	NP_415524.1	198	1.2e-83	1	194	3	194	0.9897435897435898
GT2.hmm	168	NP_415541.1	441	8e-34	1	167	78	244	0.9880952380952381
CE4.hmm	130	NP_415542.1	672	1.1e-24	5	125	103	271	0.9230769230769231
GH73.hmm	128	NP_415599.1	313	1.4e-34	5	127	160	295	0.953125
GH3.hmm	216	NP_415625.1	341	5.8e-53	10	216	56	278	0.9537037037037037
GH23.hmm	135	NP_415711.2	203	2.8e-16	14	118	52	197	0.7703703703703704
GH37.hmm	491	NP_415715.1	565	3.9e-192	1	490	56	531	0.9959266802443992
GH13_18.hmm	337	NP_415825.4	559	1.8e-129	1	337	81	423	0.9970326409495549
GH65.hmm	372	NP_415832.1	755	1.9e-138	2	371	299	674	0.9919354838709677
GH24.hmm	137	NP_416072.1	177	1.2e-38	5	137	27	167	0.9635036496350365
GH2.hmm	752	NP_416134.1	603	1.7e-111	24	486	7	588	0.6143617021276596
GH4.hmm	179	NP_416248.1	450	9.8e-76	1	178	6	185	0.9888268156424581
GT20.hmm	475	NP_416410.1	474	4.4e-169	13	475	2	453	0.9726315789473684
GH13_5.hmm	343	NP_416437.1	495	1.7e-150	3	342	31	373	0.9883381924198251
GT4.hmm	160	NP_416536.1	372	8.3e-17	4	148	193	336	0.9
GT4.hmm	160	NP_416548.1	406	3.2e-35	12	150	225	369	0.8625
GT2.hmm	168	NP_416563.1	279	3.6e-20	1	101	8	108	0.5952380952380952
GH25.hmm	177	NP_416605.2	272	1.2e-53	1	177	70	245	0.9943502824858758
GH3.hmm	216	NP_416636.1	765	1.3e-65	3	215	98	319	0.9814814814814815
CE1.hmm	227	NP_416659.1	278	6.9e-53	1	224	21	273	0.9823788546255506
GT2.hmm	168	NP_416757.1	322	1.3e-27	1	166	11	172	0.9821428571428571
GT83.hmm	540	NP_416760.1	550	5.3e-155	6	527	3	521	0.9648148148148148
GT2.hmm	168	NP_416852.1	306	8.3e-27	1	168	4	167	0.9940476190476191
GT51.hmm	177	NP_417014.1	770	2.1e-52	12	176	63	226	0.9265536723163842
GH23.hmm	135	NP_417053.2	518	3.2e-23	11	121	299	448	0.8148148148148148
GH103.hmm	295	NP_417181.1	361	4.9e-96	7	294	63	355	0.9728813559322034
GH1.hmm	429	NP_417196.1	474	4.5e-148	4	428	3	470	0.9883449883449883
GH102.hmm	157	NP_417293.1	365	5.3e-41	51	157	150	257	0.6751592356687898
GH1.hmm	429	NP_417377.1	479	5.2e-153	4	428	7	476	0.9883449883449883
GH23.hmm	135	NP_417438.2	359	4.1e-21	16	121	207	353	0.7777777777777778
AA7.hmm	458	NP_417453.1	499	2.1e-18	12	193	53	241	0.3951965065502183
GH63.hmm	570	NP_417551.1	783	4.7e-276	1	569	1	780	0.9964912280701754
GT51.hmm	177	NP_417675.1	242	1.5e-57	9	177	60	228	0.9491525423728814
GT51.hmm	177	NP_417855.4	850	4.2e-71	1	176	54	229	0.9887005649717514
GH77.hmm	494	NP_417875.1	694	5.4e-163	1	490	148	685	0.9898785425101214
GT35.hmm	674	NP_417886.1	815	1.1e-284	1	673	101	810	0.9970326409495549
GT5.hmm	472	NP_417887.1	477	4.4e-164	1	471	2	474	0.9957627118644068
CBM48.hmm	76	NP_417889.1	657	1.1e-19	1	71	10	100	0.9210526315789473
GH13_11.hmm	346	NP_417889.1	657	1.5e-141	1	346	173	521	0.9971098265895953
CBM48.hmm	76	NP_417890.1	728	8.4e-22	2	72	124	211	0.9210526315789473
GH13_9.hmm	291	NP_417890.1	728	1.4e-143	1	290	274	574	0.993127147766323
GH37.hmm	491	NP_417976.1	549	3.6e-182	1	490	71	545	0.9959266802443992
GH8.hmm	320	NP_417988.1	368	2.4e-105	1	319	25	343	0.99375
GT2.hmm	168	NP_417990.4	872	2.6e-36	2	168	277	446	0.9880952380952381
GH13_19.hmm	322	NP_418028.1	676	5.8e-151	1	322	226	595	0.9968944099378882
GT2.hmm	168	NP_418072.1	344	2.7e-31	1	129	9	137	0.7619047619047619
GT9.hmm	225	NP_418077.1	348	5.7e-57	1	203	69	306	0.8977777777777778
GT9.hmm	225	NP_418078.1	319	2.1e-41	2	205	76	300	0.9022222222222223
GT9.hmm	225	NP_418080.1	357	2.2e-20	3	203	106	328	0.8888888888888888
GT73.hmm	245	NP_418081.1	283	2e-108	2	245	18	257	0.9918367346938776
GT8.hmm	257	NP_418083.1	338	1.4e-53	26	256	24	275	0.8949416342412452
GT8.hmm	257	NP_418084.1	339	5.4e-49	31	256	30	276	0.8754863813229572
GT4.hmm	160	NP_418085.2	359	1.4e-30	7	150	176	321	0.89375
GT4.hmm	160	NP_418088.1	374	3.7e-31	2	158	189	344	0.975
GT9.hmm	225	NP_418089.1	344	3.6e-52	3	200	66	292	0.8755555555555555
GT30.hmm	177	NP_418090.1	425	3.2e-77	1	176	33	211	0.9887005649717514
GH31.hmm	427	NP_418113.1	772	1.1e-130	1	426	239	668	0.9953161592505855
CE1.hmm	227	NP_418175.3	389	2.4e-45	1	220	150	384	0.9647577092511013
GH1.hmm	429	NP_418177.1	470	1.9e-150	3	428	2	459	0.9906759906759907
GT26.hmm	171	NP_418242.1	246	4.5e-65	2	171	62	231	0.9883040935672515
