Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
NP_414555.1	CUI24525.1|GH19	69.7	314	94	1	1	313	15	328	4.3e-125	451.1
NP_414632.1	APL62744.1|GT28	100.0	355	0	0	1	355	1	355	1.7e-200	700.7
NP_414638.1	CAQ30613.1|CE11	100.0	305	0	0	1	305	1	305	6.2e-175	615.5
NP_414672.1	AKK13868.1|CE4	100.0	409	0	0	1	409	1	409	3.1e-238	826.2
NP_414691.1	BAL37459.1|GT51	100.0	844	0	0	1	844	1	844	0.0e+00	1514.6
NP_414724.1	AKD68527.1|GT19	100.0	382	0	0	1	382	1	382	4.0e-219	762.7
NP_414747.1	APL48494.1|CBM50+GH23	100.0	452	0	0	1	452	1	452	1.4e-255	884.0
NP_414805.1	BAE76055.1|GH43_11	100.0	536	0	0	1	536	1	536	0.0e+00	1172.5
NP_414845.1	AKM33915.1|AA3	100.0	556	0	0	1	556	1	556	0.0e+00	1168.7
NP_414878.1	ARX15370.1|GH2	100.0	1024	0	0	1	1024	1	1024	0.0e+00	2182.1
NP_414897.1	AOO68690.1|GT2	100.0	398	0	0	1	398	1	398	9.1e-235	814.7
NP_414937.2	AGX32551.1|CBM34+GH13_21	100.0	604	0	0	1	604	1	604	0.0e+00	1290.8
NP_415101.1	AKR19520.1|GT2	100.0	745	0	0	1	745	1	745	0.0e+00	1482.2
NP_415118.1	BAY30132.1|GT2	29.7	1197	781	26	7	1169	2249	3419	8.9e-130	467.6
NP_415203.1	APK57318.1|CE9	100.0	382	0	0	1	382	1	382	2.7e-220	766.5
NP_415260.1	APK70339.1|GH38	100.0	877	0	0	1	877	1	877	0.0e+00	1790.4
NP_415293.1	AJG07778.1|CE8	100.0	427	0	0	1	427	1	427	5.0e-247	855.5
NP_415340.1	ALY12309.1|CBM50	100.0	306	0	0	1	306	1	306	9.7e-176	618.2
NP_415541.1	ACR64440.1|GT2	100.0	441	0	0	1	441	1	441	2.4e-252	873.2
NP_415542.1	AKK17248.1|CE4	100.0	672	0	0	1	672	1	672	0.0e+00	1372.5
NP_415567.1	AFG40906.1|GT2	100.0	847	0	0	1	847	1	847	0.0e+00	1725.3
NP_415599.1	ABV05543.1|GH73	100.0	313	0	0	1	313	1	313	3.0e-172	606.7
NP_415625.1	ARM39300.1|GH3	100.0	341	0	0	1	341	1	341	1.8e-194	680.6
NP_415631.1	AQP91018.1|CBM50	100.0	320	0	0	1	320	1	320	3.2e-182	639.8
NP_415715.1	ANP17652.1|GH37	100.0	565	0	0	1	565	1	565	0.0e+00	1170.2
NP_415825.4	AKD65235.1|GH13_18	100.0	559	0	0	1	559	1	559	0.0e+00	1153.3
NP_415832.1	AIZ27799.1|GH65	100.0	755	0	0	1	755	1	755	0.0e+00	1545.8
NP_415896.1	AHO06742.1|GT2	92.7	634	46	0	1	634	1	634	0.0e+00	1177.2
NP_416008.1	AIX54840.1|GH0	74.5	428	107	1	12	439	5	430	1.1e-193	678.3
NP_416134.1	AKD65535.1|GH2	100.0	603	0	0	1	603	1	603	0.0e+00	1271.5
NP_416234.1	CAN65674.1|GH28	43.2	551	288	8	61	606	99	629	1.7e-129	465.7
NP_416247.1	NP_416247.1|CE0	100.0	249	0	0	1	249	1	249	5.7e-142	505.8
NP_416248.1	AAC74804.1|GH4|3.2.1.86	100.0	450	0	0	1	450	1	450	2.5e-265	916.4
NP_416370.2	AJB39165.1|CBM50	100.0	440	0	0	1	440	1	440	3.8e-250	865.9
NP_416410.1	AQV37734.1|GT20	100.0	474	0	0	1	474	1	474	6.5e-280	964.9
NP_416437.1	ACB03116.1|GH13_5	100.0	495	0	0	1	495	1	495	1.7e-307	1056.6
NP_416494.1	ASC25572.1|CBM50	80.2	308	61	0	1	308	3	310	2.6e-144	513.8
NP_416536.1	CDZ20853.1|GT4	100.0	372	0	0	1	372	1	372	6.8e-216	751.9
NP_416548.1	CDJ72414.1|GT4	100.0	406	0	0	1	406	1	406	2.8e-231	803.1
NP_416553.1	AGN91810.1|GT4	65.9	478	163	0	1	478	343	820	1.5e-186	654.8
NP_416554.1	ALB32156.1|GT4	100.0	407	0	0	1	407	1	407	2.2e-236	820.1
NP_416559.1	ACB03227.1|GT2	100.0	248	0	0	1	248	1	248	1.5e-142	507.7
NP_416561.1	ALI44594.1|GT4	100.0	405	0	0	1	405	1	405	4.8e-239	828.9
NP_416563.1	AIN32477.1|GT2	100.0	279	0	0	1	279	1	279	9.1e-165	581.6
NP_416605.2	AGX34161.1|GH25	100.0	272	0	0	1	272	1	272	3.6e-158	559.7
NP_416636.1	ANK08766.1|GH3	100.0	765	0	0	1	765	1	765	0.0e+00	1513.4
NP_416757.1	AMR23871.1|GT2	100.0	322	0	0	1	322	1	322	1.5e-179	630.9
NP_416760.1	ALQ58659.1|GT83	100.0	550	0	0	1	550	1	550	1.1e-307	1057.4
NP_416852.1	AKD88097.1|GT2	100.0	306	0	0	1	306	1	306	3.8e-172	606.3
NP_417014.1	APL76331.1|GT51	100.0	770	0	0	1	770	1	770	0.0e+00	1592.8
NP_417053.2	APK11775.1|GH23	100.0	518	0	0	1	518	1	518	6.2e-300	1031.6
NP_417181.1	ARM41867.1|GH103	100.0	361	0	0	1	361	1	361	5.1e-208	725.7
NP_417196.1	AKR30367.1|GH1	100.0	474	0	0	1	474	1	474	1.5e-289	996.9
NP_417222.1	AMH31381.1|CBM50	100.0	379	0	0	1	379	1	379	1.7e-174	614.4
NP_417293.1	ACT40316.1|GH102	100.0	365	0	0	1	365	1	365	3.9e-216	752.7
NP_417341.4	AQV41135.1|CBM50	100.0	251	0	0	1	251	1	251	1.0e-130	468.4
NP_417377.1	AKK18719.2|GH1	100.0	479	0	0	1	479	1	479	6.3e-299	1028.1
NP_417438.2	ASI15146.1|GH23	100.0	359	0	0	1	359	1	359	1.1e-205	718.0
NP_417551.1	AKF65138.1|GH63	100.0	783	0	0	1	783	1	783	0.0e+00	1629.4
NP_417675.1	ARH98832.1|GT51	100.0	242	0	0	1	242	1	242	5.9e-136	485.7
NP_417797.1	AKA92517.1|CBM5+GH18	100.0	897	0	0	1	897	1	897	0.0e+00	1715.7
NP_417855.4	AKF69576.1|GT51	100.0	850	0	0	1	850	1	850	0.0e+00	1700.6
NP_417875.1	BAL40030.1|GH77	100.0	694	0	0	1	694	1	694	0.0e+00	1450.3
NP_417886.1	AKK14789.1|GT35	100.0	815	0	0	1	815	1	815	0.0e+00	1652.5
NP_417887.1	API34013.1|GT5	100.0	477	0	0	1	477	1	477	5.4e-282	971.8
NP_417889.1	ARE45711.1|CBM48+GH13_11	100.0	657	0	0	1	657	1	657	0.0e+00	1410.6
NP_417890.1	ARV29446.1|CBM48+GH13_9	100.0	728	0	0	1	728	1	728	0.0e+00	1567.4
NP_417976.1	APK71935.1|GH37	100.0	549	0	0	1	549	1	549	0.0e+00	1135.9
NP_417988.1	CQR82947.1|GH8	100.0	368	0	0	1	368	3	370	1.4e-221	770.8
NP_417990.4	ASA59529.1|GT2	100.0	872	0	0	1	872	1	872	0.0e+00	1783.1
NP_418028.1	AAB18548.1|GH13_19|3.2.1.1	100.0	676	0	0	1	676	1	676	0.0e+00	1426.8
NP_418072.1	AMH32220.1|GT2	100.0	344	0	0	1	344	1	344	6.8e-202	705.3
NP_418077.1	ANW29688.1|GT9	100.0	348	0	0	1	348	1	348	2.3e-205	716.8
NP_418078.1	APK71828.1|GT9	100.0	319	0	0	1	319	1	319	4.5e-184	646.0
NP_418080.1	BAL40217.1|GT9	100.0	357	0	0	1	357	1	357	5.5e-207	722.2
NP_418081.1	AKD71785.1|GT73	100.0	283	0	0	1	283	1	283	1.3e-158	561.2
NP_418083.1	AMK99879.1|GT8	100.0	338	0	0	1	338	1	338	6.4e-197	688.7
NP_418084.1	AIF38913.1|GT8	100.0	339	0	0	1	339	1	339	2.5e-201	703.4
NP_418085.2	ACX37775.1|GT4	100.0	359	0	0	1	359	1	359	1.6e-214	747.3
NP_418088.1	ANK07336.1|GT4	100.0	374	0	0	1	374	1	374	2.5e-218	760.0
NP_418089.1	APQ19499.1|GT9	100.0	344	0	0	1	344	13	356	1.9e-204	713.8
NP_418090.1	AMX41659.1|GT30	100.0	425	0	0	1	425	1	425	4.8e-242	839.0
NP_418113.1	ALQ74737.1|GH31	100.0	772	0	0	1	772	1	772	0.0e+00	1654.8
NP_418175.3	CUQ98998.1|CE1	100.0	389	0	0	1	389	1	389	6.9e-227	788.5
NP_418177.1	AQZ28428.1|GH1	100.0	470	0	0	1	470	1	470	1.8e-285	983.4
NP_418241.1	AHF73030.1|GT56	71.1	440	126	1	1	440	362	800	2.5e-172	607.4
NP_418242.1	AKD67764.1|GT26	100.0	246	0	0	1	246	1	246	8.1e-141	501.9
NP_418314.1	BAL40449.1|GH31	100.0	678	0	0	1	678	1	678	0.0e+00	1456.8
NP_418377.1	ANK11209.1|AA2	100.0	726	0	0	1	726	1	726	0.0e+00	1476.1
NP_418543.1	ARM40519.1|GH4	100.0	451	0	0	1	451	1	451	7.3e-273	941.4
NP_418590.1	CAX57980.1|CBM50	66.4	441	136	6	9	445	5	437	3.7e-152	540.4
NP_418634.1	ANF95373.1|CBM50	53.3	642	281	9	16	647	34	666	9.4e-197	689.1
NP_418660.1	AKF57954.1|GH13_29	100.0	551	0	0	1	551	1	551	0.0e+00	1190.3
NP_418729.1	AMH33140.1|CE0	100.0	326	0	0	1	326	1	326	3.2e-201	703.0
NP_418809.4	APL90032.1|GH23	100.0	645	0	0	1	645	1	645	0.0e+00	1294.6
YP_026182.1	AHA66737.1|GH1	93.7	301	14	1	1	301	1	296	8.2e-145	516.2
YP_026199.1	ACR62677.1|GH2	100.0	1030	0	0	1	1030	1	1030	0.0e+00	2176.4
YP_026218.1	AOM55986.1|GT35	100.0	797	0	0	1	797	1	797	0.0e+00	1633.6
YP_026230.1	AQU01358.1|GH73	100.0	274	0	0	1	274	1	274	4.8e-134	479.6
YP_026257.1	BAE77505.1|GT56	100.0	359	0	0	1	359	1	359	3.2e-210	733.0
